Connecting to host 200.17.212.251, port 5201
[  5] local 200.17.212.245 port 35396 connected to 200.17.212.251 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.08 GBytes  9.26 Gbits/sec  4428   1.40 MBytes       
[  5]   1.00-2.00   sec  1.08 GBytes  9.31 Gbits/sec  5602   1.46 MBytes       
[  5]   2.00-3.00   sec  1.09 GBytes  9.34 Gbits/sec  2576   1.44 MBytes       
[  5]   3.00-4.00   sec  1.08 GBytes  9.31 Gbits/sec  4547   1.44 MBytes       
[  5]   4.00-5.00   sec  1.09 GBytes  9.32 Gbits/sec  4370   1.44 MBytes       
[  5]   5.00-6.00   sec  1.09 GBytes  9.33 Gbits/sec  2674   1.45 MBytes       
[  5]   6.00-7.00   sec  1.09 GBytes  9.34 Gbits/sec  2274   1.45 MBytes       
[  5]   7.00-8.00   sec  1.09 GBytes  9.36 Gbits/sec  1088   1.45 MBytes       
[  5]   8.00-9.00   sec  1.09 GBytes  9.36 Gbits/sec  1106   1.45 MBytes       
[  5]   9.00-10.00  sec  1.09 GBytes  9.33 Gbits/sec  2676   1.43 MBytes       
[  5]  10.00-11.00  sec  1.09 GBytes  9.35 Gbits/sec  1121   1.45 MBytes       
[  5]  11.00-12.00  sec  1.09 GBytes  9.34 Gbits/sec  2198   1.45 MBytes       
[  5]  12.00-13.00  sec  1.09 GBytes  9.35 Gbits/sec  1336   1.45 MBytes       
[  5]  13.00-14.00  sec  1.08 GBytes  9.31 Gbits/sec  4538   1.45 MBytes       
[  5]  14.00-15.00  sec  1.09 GBytes  9.34 Gbits/sec  2600   1.45 MBytes       
[  5]  15.00-16.00  sec  1.09 GBytes  9.34 Gbits/sec  2310   1.45 MBytes       
[  5]  16.00-17.00  sec  1.08 GBytes  9.28 Gbits/sec  6618   1.43 MBytes       
[  5]  17.00-18.00  sec  1.08 GBytes  9.29 Gbits/sec  6256   1.46 MBytes       
[  5]  18.00-19.00  sec  1.08 GBytes  9.31 Gbits/sec  4771   1.46 MBytes       
[  5]  19.00-20.00  sec  1.09 GBytes  9.35 Gbits/sec  521   1.46 MBytes       
[  5]  20.00-21.00  sec  1.09 GBytes  9.36 Gbits/sec  522   1.46 MBytes       
[  5]  21.00-22.00  sec  1.08 GBytes  9.28 Gbits/sec  6608   1.46 MBytes       
[  5]  22.00-23.00  sec  1.09 GBytes  9.34 Gbits/sec  2892   1.46 MBytes       
[  5]  23.00-24.00  sec  1.09 GBytes  9.34 Gbits/sec  1978   1.46 MBytes       
[  5]  24.00-25.00  sec  1.08 GBytes  9.30 Gbits/sec  5992   1.46 MBytes       
[  5]  25.00-26.00  sec  1.09 GBytes  9.35 Gbits/sec  1404   1.46 MBytes       
[  5]  26.00-27.00  sec  1.08 GBytes  9.30 Gbits/sec  4565   1.46 MBytes       
[  5]  27.00-28.00  sec  1.08 GBytes  9.29 Gbits/sec  6144   1.46 MBytes       
[  5]  28.00-29.00  sec  1.08 GBytes  9.27 Gbits/sec  7785   1.10 MBytes       
[  5]  29.00-30.00  sec  1.09 GBytes  9.34 Gbits/sec  1404   1.37 MBytes       
[  5]  30.00-31.00  sec  1.08 GBytes  9.31 Gbits/sec  4595    689 KBytes       
